Date,BAJAJ,HERO
10/6/2016,2537.958008,3009.439209
10/7/2016,2592.303467,3009.39624
10/10/2016,2585.92041,3022.086182
10/13/2016,2539.935791,3032.220947
10/14/2016,2515.70752,3015.805908
10/17/2016,2475.746582,2949.887451
10/18/2016,2510.62793,2953.308594
10/19/2016,2506.402832,2912.163574
10/20/2016,2514.134277,2912.207031
10/21/2016,2519.348633,2910.344727
10/24/2016,2508.24585,2888.689209
10/25/2016,2518.62915,2906.619629
10/26/2016,2538.76709,2961.624512
10/27/2016,2482.624023,2870.325439
10/28/2016,2560.478516,2903.415039
11/1/2016,2540.250732,2919.30957
11/2/2016,2534.137207,2881.802734
11/3/2016,2544.071533,2926.499512
11/4/2016,2530.091553,2848.020508
11/7/2016,2538.902344,2909.261719
11/8/2016,2575.671631,2921.259033
11/9/2016,2497.95166,2802.977051
11/10/2016,2451.248291,2724.585205
11/11/2016,2380.226074,2577.242676
11/15/2016,2315.946777,2504.957031
11/16/2016,2342.512451,2520.289063
11/17/2016,2292.302734,2490.750977
11/18/2016,2314.778076,2542.680664
11/21/2016,2269.467529,2534.408691
11/22/2016,2336.983887,2596.645752
11/23/2016,2337.748047,2610.331787
11/24/2016,2365.212646,2643.637695
11/25/2016,2349.165283,2638.44043
11/28/2016,2370.696777,2690.802734
11/29/2016,2395.104736,2740.047119
11/30/2016,2413.984131,2742.472656
12/1/2016,2422.749512,2763.608398
12/2/2016,2428.54834,2757.717529
12/5/2016,2463.969238,2792.9729
12/6/2016,2457.271729,2769.23877
12/7/2016,2426.480469,2796.307861
12/8/2016,2497.99707,2872.577637
12/9/2016,2445.449463,2838.882324
12/12/2016,2387.013428,2782.665039
12/13/2016,2390.609863,2781.148682
12/14/2016,2381.035156,2736.885742
12/15/2016,2400.948486,2745.41748
12/16/2016,2390.924561,2709.426025
12/19/2016,2375.281494,2691.452637
12/20/2016,2324.802002,2649.700928
12/21/2016,2324.172852,2617.478271
12/22/2016,2305.203613,2597.598633
12/23/2016,2354.334717,2633.373535
12/26/2016,2338.0625,2605.221436
12/27/2016,2367.819824,2628.911865
12/28/2016,2367.235352,2600.023682
12/29/2016,2383.6875,2630.125
12/30/2016,2366.381348,2636.447998
1/2/2017,2336.084473,2625.101074
1/3/2017,2354.694336,2586.987549
1/4/2017,2413.040283,2602.882568
1/5/2017,2448.326416,2660.788574
1/6/2017,2433.942383,2657.150635
1/9/2017,2448.146484,2625.880127
1/10/2017,2463.969238,2649.744385
1/11/2017,2444.01123,2671.616699
1/12/2017,2460.732666,2670.706787
1/13/2017,2435.020996,2638.959717
1/16/2017,2446.797852,2678.113037
1/17/2017,2453.315674,2713.540771
1/18/2017,2427.064941,2673.175781
1/19/2017,2423.109375,2687.294922
1/20/2017,2428.278809,2642.46875
1/23/2017,2433.178223,2682.487549
1/24/2017,2516.291748,2714.970459
1/25/2017,2561.871582,2812.982178
1/27/2017,2565.872314,2785.610107
1/30/2017,2539.755859,2767.289551
1/31/2017,2547.307617,2747.929688
2/1/2017,2565.91748,2847.197754
2/2/2017,2523.933594,2796.784424
2/3/2017,2524.517822,2784.00708
2/6/2017,2516.696533,2832.905029
2/7/2017,2490.085693,2823.680176
2/8/2017,2500.963623,2791.413574
2/9/2017,2503.121338,2828.270996
2/10/2017,2517.955078,2831.30249
2/13/2017,2523.079346,2794.878174
2/14/2017,2497.547363,2739.787109
2/15/2017,2507.885986,2683.396729
2/16/2017,2502.536865,2706.437988
2/17/2017,2498.266357,2674.171875
2/20/2017,2509.594238,2687.078613
2/21/2017,2516.561523,2707.607178
2/22/2017,2517.01123,2742.602295
2/23/2017,2529.912109,2751.741211
2/27/2017,2512.785889,2751.004639
2/28/2017,2477.589355,2718.262207
3/1/2017,2489.366455,2752.953857
3/2/2017,2546.049072,2797.260742
3/3/2017,2546.723389,2834.984131
3/6/2017,2591.943848,2875.65332
3/7/2017,2588.662354,2863.2229
3/8/2017,2580.121582,2834.854004
3/9/2017,2580.796143,2848.973389
3/10/2017,2575.26709,2868.073486
3/14/2017,2577.199951,2908.265381
3/15/2017,2582.953857,2946.075684
3/16/2017,2639.86084,2947.748535
3/17/2017,2618.375,2946.075684
3/20/2017,2628.308838,2940.925293
3/21/2017,2613.29541,2936.038574
3/22/2017,2565.602783,2918.341797
3/23/2017,2576.525635,2964.829346
3/24/2017,2555.893555,2971.740723
3/27/2017,2524.787598,2943.522217
3/28/2017,2539.576172,2929.171387
3/29/2017,2545.195313,2838.924805
3/30/2017,2537.77832,2845.308105
3/31/2017,2522.135498,2836.767578
4/3/2017,2502.492188,2819.334961
4/5/2017,2482.039551,2815.725098
4/6/2017,2522.899658,2822.98877
4/7/2017,2544.610596,2830.912842
4/10/2017,2550.499268,2816.913818
4/11/2017,2537.418701,2819.378906
4/12/2017,2552.746826,2841.258301
4/13/2017,2560.523193,2839.012939
4/17/2017,2564.119141,2852.791504
4/18/2017,2539.171875,2840.553955
4/19/2017,2525.057129,2817.221924
4/20/2017,2545.554688,2816.033203
4/21/2017,2539.082031,2820.259277
4/24/2017,2578.143799,2821.315674
4/25/2017,2604.260254,2910.065186
4/26/2017,2594.056396,2916.976807
4/27/2017,2576.615479,2906.19165
4/28/2017,2574.772461,2921.864014
5/2/2017,2605.339111,2952.106445
5/3/2017,2637.029297,2972.841553
5/4/2017,2645.390137,2989.702148
5/5/2017,2596.03418,2972.885498
5/8/2017,2568.43457,2994.632568
5/9/2017,2582.998535,2889.947266
5/10/2017,2611.452393,2926.486084
5/11/2017,2695.644775,3047.944092
5/12/2017,2701.35376,3118.115967
5/15/2017,2696.768799,3095.180176
5/16/2017,2718.614502,3186.702637
5/17/2017,2732.729248,3210.078857
5/18/2017,2672.85498,3162.622559
5/19/2017,2672.450439,3144.661133
5/22/2017,2619.858154,3136.561523
5/23/2017,2539.666016,3156.415771
5/24/2017,2485.141113,3141.095947
5/25/2017,2537.733398,3192.381836
5/26/2017,2529.912109,3185.822998
5/29/2017,2551.353027,3227.555908
5/30/2017,2563.445068,3293.193359
5/31/2017,2558.54541,3297.683594
6/1/2017,2552.612061,3287.030518
6/2/2017,2564.748535,3389.515137
6/5/2017,2605.698242,3376.484131
6/6/2017,2583.358398,3345.668213
6/7/2017,2585.560791,3383.791748
6/8/2017,2578.503418,3332.020996
6/9/2017,2576.390869,3328.191406
6/12/2017,2539.351563,3322.160156
6/13/2017,2548.611328,3303.891113
6/14/2017,2539.845947,3336.071289
6/15/2017,2530.181152,3326.078125
6/16/2017,2526.046143,3331.229004
6/19/2017,2542.18335,3368.119873
6/20/2017,2530.990723,3343.071289
6/21/2017,2532.968262,3318.638672
6/22/2017,2558.320557,3284.697021
6/23/2017,2539.082031,3222.537842
6/27/2017,2498.626221,3253.441406
6/28/2017,2496.603271,3247.498291
6/29/2017,2518.404297,3272.062744
6/30/2017,2509.324219,3285.376953
7/3/2017,2507.661377,3351.726074
7/4/2017,2489.950684,3287.152344
7/5/2017,2491.38916,3292.832764
7/6/2017,2502.717041,3306.679688
7/7/2017,2484.051514,3267.890625
7/10/2017,2504.596924,3311.694824
7/11/2017,2561.556152,3327.050293
7/12/2017,2555.227539,3300.821045
7/13/2017,2558.804443,3329.402588
7/14/2017,2577.194824,3335.70459
7/17/2017,2587.696777,3341.297119
7/18/2017,2597.327393,3358.693848
7/19/2017,2589.943848,3346.888672
7/20/2017,2585.266357,3310.718262
7/21/2017,2582.697998,3268.201904
7/24/2017,2592.741699,3277.343994
7/25/2017,2611.957031,3292.21167
7/26/2017,2606.133057,3299.66748
7/27/2017,2605.169922,3287.329834
7/28/2017,2594.025391,3222.311523
7/31/2017,2576.048096,3244.901855
8/1/2017,2589.668701,3308.898438
8/2/2017,2570.865723,3375.247803
8/3/2017,2599.620605,3406.97998
8/4/2017,2636.676025,3511.896484
8/7/2017,2650.067627,3508.479492
8/8/2017,2670.567139,3473.595703
8/9/2017,2596.7771,3447.278076
8/10/2017,2564.720703,3452.426025
8/11/2017,2557.382813,3409.243652
8/14/2017,2597.190186,3512.340332
8/16/2017,2613.333008,3570.07959
8/17/2017,2591.91626,3548.554932
8/18/2017,2578.616699,3538.657715
8/21/2017,2537.479004,3525.654541
8/22/2017,2513.677246,3451.094482
8/23/2017,2526.610352,3451.849121
8/24/2017,2502.670898,3446.301758
8/28/2017,2515.053223,3514.248535
8/29/2017,2500.882324,3502.265869
8/30/2017,2522.849609,3539.900879
8/31/2017,2581.505371,3546.114258
9/1/2017,2674.924072,3593.912354
9/4/2017,2673.823242,3531.734619
9/5/2017,2706.43042,3524.234375
9/6/2017,2678.776367,3506.659424
9/7/2017,2719.959229,3535.2854
9/8/2017,2674.098633,3511.452393
9/11/2017,2687.077393,3501.200439
9/12/2017,2692.718262,3478.477539
9/13/2017,2691.984131,3455.976563
9/14/2017,2685.930664,3453.935059
9/15/2017,2775.130127,3451.050293
9/18/2017,2877.674805,3505.993652
9/19/2017,2857.541992,3500.979004
9/20/2017,2834.703369,3422.690918
9/21/2017,2823.97168,3458.506104
9/22/2017,2790.585205,3365.084473
9/25/2017,2792.098633,3333.840576
9/26/2017,2792.832031,3362.067139
9/27/2017,2780.312256,3308.499268
9/28/2017,2787.833496,3319.727539
9/29/2017,2851.992676,3350.350342
10/3/2017,2900.421631,3378.487793
10/4/2017,2910.786377,3368.41333
10/5/2017,2871.621338,3333.396729
10/6/2017,2881.481201,3287.68457
10/9/2017,2866.714111,3263.230713
10/10/2017,2875.198242,3279.962646
10/11/2017,2883.636719,3274.903076
10/12/2017,2894.643311,3329.446777
10/13/2017,2899.183594,3340.853027
10/16/2017,2957.8396,3352.2146
10/17/2017,2990.07959,3363.220703
10/18/2017,2959.674072,3331.222168
10/19/2017,2951.556641,3315.777832
10/23/2017,2951.28125,3365.173584
10/24/2017,2944.310547,3333.352539
10/25/2017,2964.672607,3346.000977
10/26/2017,3011.588379,3329.313965
10/27/2017,3026.95166,3361.090576
10/30/2017,3010.487793,3402.231201
10/31/2017,2987.46582,3417.231934
11/1/2017,2971.552002,3390.115479
11/2/2017,2972.790283,3315.999512
11/3/2017,2951.0979,3274.459229
11/6/2017,2944.127197,3274.281494
11/7/2017,2899.917236,3267.757568
11/8/2017,2925.049072,3215.432617
11/9/2017,2935.092529,3193.419678
11/10/2017,2984.026123,3199.944092
11/13/2017,2956.188721,3177.575439
11/14/2017,2996.133301,3244.41333
11/15/2017,2946.970215,3259.147705
11/16/2017,2943.209961,3246.010742
11/17/2017,2941.375488,3223.065918
11/20/2017,2973.615479,3247.431396
